Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
XOM,Exxon Mobil,Stock,Absolute_Error,Random Forest,LSTM,647,2.371037623247625,2.78471699271938,-0.4136793694717555,-6.05116042895834,2.4366158474497146e-09,Random Forest,9.746463389798858e-09,True,True,Random Forest
^GSPC,S&P 500,Benchmark,QLIKE,Historical Variance,GARCH,647,0.868669142617824,0.7363238980359751,0.13234524458184904,2.2758561198596503,0.02318115864397475,GARCH,0.06954347593192425,True,False,No significant difference
^GSPC,S&P 500,Benchmark,QLIKE,Historical Variance,Random Forest,647,0.868669142617824,0.711634521154872,0.157034621462952,2.192448184490148,0.0287031354952768,Random Forest,0.06954347593192425,True,False,No significant difference
^GSPC,S&P 500,Benchmark,QLIKE,Historical Variance,LSTM,647,0.868669142617824,0.6319534481503737,0.23671569446745033,3.0224363738996844,0.0026067339178118395,LSTM,0.015640403506871035,True,True,LSTM
^GSPC,S&P 500,Benchmark,QLIKE,GARCH,Random Forest,647,0.7363238980359751,0.711634521154872,0.024689376881103006,0.9917195616447648,0.3217056563062593,Random Forest,0.3217056563062593,False,False,No significant difference
^GSPC,S&P 500,Benchmark,QLIKE,GARCH,LSTM,647,0.7363238980359751,0.6319534481503737,0.10437044988560132,2.4786725128598177,0.013441467510051975,LSTM,0.0537658700402079,True,False,No significant difference
^GSPC,S&P 500,Benchmark,QLIKE,Random Forest,LSTM,647,0.711634521154872,0.6319534481503737,0.07968107300449831,2.7123750875188404,0.006858158481310145,LSTM,0.034290792406550724,True,True,LSTM
^GSPC,S&P 500,Benchmark,Squared_Error,Historical Variance,GARCH,647,15.57239982458612,14.41885885029309,1.1535409742930254,0.9906984865735614,0.3222037552048551,GARCH,0.9666112656145653,False,False,No significant difference
^GSPC,S&P 500,Benchmark,Squared_Error,Historical Variance,Random Forest,647,15.57239982458612,17.19734472838569,-1.62494490379957,-0.9252109385597641,0.35520167997100843,Historical Variance,0.9666112656145653,False,False,No significant difference
^GSPC,S&P 500,Benchmark,Squared_Error,Historical Variance,LSTM,647,15.57239982458612,14.135103438940984,1.4372963856451335,3.2442070488876182,0.00123850878214703,LSTM,0.00743105269288218,True,True,LSTM
